gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
open_hand,0.533723,0.567175,0.0,0.472595,0.61389,-0.021777,0.405282,0.635842,-0.032056,0.344731,0.632868,-0.043198,0.293487,0.615457,-0.052288,0.354983,0.575653,0.009006,0.303247,0.564213,-0.01079,0.28141,0.561007,-0.033529,0.27532,0.561518,-0.048894,0.364884,0.524227,0.007667,0.304702,0.497618,-0.013258,0.28929,0.495458,-0.038713,0.29876,0.509561,-0.054693,0.385102,0.479633,0.001266,0.332522,0.445697,-0.017206,0.312685,0.443089,-0.036074,0.320155,0.460979,-0.047025,0.416162,0.437655,-0.007583,0.379694,0.398449,-0.022065,0.350788,0.386116,-0.035162,0.33739,0.391765,-0.043644
open_hand,0.523136,0.561904,0.0,0.461299,0.606744,-0.020853,0.39642,0.631029,-0.030247,0.335643,0.627392,-0.040467,0.284811,0.606546,-0.048548,0.352817,0.570112,0.013231,0.301298,0.556913,-0.006997,0.280308,0.550571,-0.031876,0.277269,0.549597,-0.048176,0.362868,0.519081,0.012747,0.302232,0.49291,-0.008874,0.290742,0.490455,-0.036821,0.305403,0.503094,-0.05388,0.381914,0.475733,0.007342,0.329717,0.445496,-0.009741,0.311081,0.444428,-0.029632,0.32238,0.462438,-0.040949,0.4107,0.434901,-0.000459,0.373386,0.396824,-0.011458,0.34352,0.387039,-0.023493,0.331197,0.395099,-0.031392
open_hand,0.520801,0.55949,0.0,0.460899,0.606891,-0.021143,0.393921,0.629148,-0.029153,0.332592,0.623625,-0.037641,0.282679,0.60455,-0.044053,0.3523,0.568815,0.0134,0.302502,0.556729,-0.004466,0.280629,0.547725,-0.027992,0.276197,0.544804,-0.044229,0.362657,0.517423,0.012976,0.303688,0.492587,-0.007308,0.291656,0.486184,-0.036475,0.30468,0.495812,-0.055301,0.381554,0.474913,0.007944,0.331472,0.445672,-0.009337,0.312279,0.44162,-0.031676,0.324404,0.456839,-0.0453,0.410263,0.434683,0.000703,0.374394,0.399061,-0.011261,0.345636,0.387085,-0.024866,0.33584,0.39192,-0.034354
open_hand,0.520656,0.559375,0.0,0.459839,0.607079,-0.021888,0.39326,0.626911,-0.029587,0.333011,0.619956,-0.037788,0.283065,0.600119,-0.043817,0.350859,0.567461,0.019063,0.298473,0.552354,0.002181,0.279036,0.543509,-0.023125,0.278711,0.54115,-0.040851,0.363018,0.516213,0.019534,0.303266,0.490372,-0.000115,0.29395,0.484586,-0.033076,0.307643,0.495331,-0.055103,0.382451,0.475722,0.015231,0.331106,0.446103,-0.000747,0.3124,0.441516,-0.025489,0.325966,0.456195,-0.041366,0.411606,0.43499,0.008608,0.373636,0.399609,-0.001239,0.343822,0.38854,-0.015138,0.332442,0.393829,-0.02569
open_hand,0.520611,0.555157,0.0,0.459048,0.602355,-0.020468,0.391768,0.622586,-0.028009,0.331081,0.615082,-0.036263,0.280986,0.594457,-0.042328,0.351331,0.562752,0.01877,0.300962,0.548661,0.002371,0.28129,0.540397,-0.020342,0.278692,0.537804,-0.036121,0.363595,0.512394,0.01832,0.306912,0.487319,-0.001162,0.297176,0.481458,-0.029465,0.309721,0.490324,-0.047499,0.383295,0.472569,0.01294,0.333785,0.443493,-0.003339,0.316828,0.439682,-0.023195,0.326757,0.452668,-0.035079,0.412561,0.433768,0.005266,0.375785,0.398713,-0.005396,0.346963,0.386636,-0.016937,0.333703,0.389478,-0.024973
open_hand,0.519485,0.553977,0.0,0.459615,0.602075,-0.019893,0.391709,0.622153,-0.027198,0.331589,0.61425,-0.035133,0.281846,0.596879,-0.04107,0.353569,0.561737,0.012958,0.301005,0.546564,-0.006211,0.280514,0.537458,-0.030784,0.280485,0.535775,-0.047171,0.364745,0.511891,0.011815,0.305301,0.484933,-0.010144,0.295221,0.478675,-0.040864,0.310333,0.489463,-0.060303,0.383786,0.471273,0.006302,0.332638,0.441023,-0.01148,0.31416,0.436628,-0.034706,0.326829,0.452049,-0.0488,0.412127,0.432535,-0.001227,0.374733,0.396916,-0.013213,0.344585,0.385459,-0.027234,0.332603,0.390944,-0.037074
open_hand,0.51952,0.552981,0.0,0.457703,0.599755,-0.018995,0.391784,0.619998,-0.026127,0.332482,0.613673,-0.034203,0.283253,0.593304,-0.040237,0.35266,0.559493,0.017896,0.300985,0.54493,0.000273,0.281541,0.536019,-0.024441,0.281058,0.533624,-0.041372,0.364904,0.510276,0.016825,0.30548,0.482895,-0.002927,0.296498,0.477272,-0.033872,0.310006,0.488407,-0.054177,0.38442,0.470729,0.011259,0.332968,0.44023,-0.004924,0.314815,0.436359,-0.028026,0.328054,0.451688,-0.042492,0.413092,0.431267,0.003648,0.375238,0.395338,-0.006471,0.345605,0.383696,-0.019639,0.334016,0.388733,-0.029352
open_hand,0.519828,0.55106,0.0,0.460185,0.598956,-0.020794,0.392414,0.620077,-0.027811,0.331153,0.615906,-0.035214,0.280879,0.600815,-0.04081,0.3548,0.561206,0.0161,0.303865,0.547217,0.001622,0.282743,0.539471,-0.020692,0.277785,0.536993,-0.037153,0.366396,0.510611,0.015704,0.307413,0.485381,-0.002162,0.296554,0.480054,-0.032782,0.307238,0.489485,-0.053895,0.385098,0.470821,0.010998,0.334482,0.440806,-0.004337,0.315385,0.437824,-0.028957,0.326857,0.452052,-0.045361,0.41346,0.431452,0.004269,0.375119,0.397284,-0.005821,0.344888,0.386688,-0.020239,0.332677,0.391552,-0.031565
open_hand,0.516744,0.552537,0.0,0.458639,0.602357,-0.020405,0.390613,0.624258,-0.027425,0.329646,0.617139,-0.034596,0.280554,0.599615,-0.039695,0.352773,0.563085,0.012281,0.302236,0.547479,-0.004315,0.282317,0.53889,-0.026234,0.279913,0.536158,-0.041444,0.364165,0.512282,0.011773,0.306281,0.486333,-0.007773,0.296572,0.481013,-0.035584,0.309294,0.4906,-0.053549,0.383262,0.472013,0.006947,0.332661,0.44112,-0.01009,0.316005,0.438611,-0.03122,0.328204,0.452755,-0.044124,0.411796,0.432706,0.000165,0.373931,0.397798,-0.011497,0.344762,0.386973,-0.024258,0.332276,0.390818,-0.03331
open_hand,0.517496,0.550315,0.0,0.459996,0.600262,-0.019963,0.391174,0.620994,-0.026998,0.331019,0.616324,-0.034941,0.280415,0.599571,-0.040911,0.353436,0.558862,0.016864,0.303121,0.546549,-0.001382,0.281372,0.539454,-0.024265,0.278943,0.53823,-0.039114,0.364269,0.50927,0.015854,0.306406,0.484582,-0.005914,0.295704,0.481454,-0.033414,0.311918,0.492863,-0.049277,0.382599,0.469269,0.009892,0.33232,0.44053,-0.007226,0.315379,0.439587,-0.025978,0.326036,0.453515,-0.036129,0.411012,0.430782,0.001636,0.373818,0.396363,-0.008829,0.344461,0.386706,-0.019593,0.330615,0.390986,-0.026555
open_hand,0.517585,0.54998,0.0,0.460873,0.598711,-0.021223,0.392155,0.620056,-0.028607,0.331514,0.616577,-0.036348,0.281404,0.600355,-0.041951,0.353437,0.560463,0.014017,0.304123,0.546862,-0.003657,0.28206,0.539929,-0.025352,0.276022,0.539004,-0.039726,0.364177,0.510345,0.013974,0.306876,0.486651,-0.007119,0.295494,0.483021,-0.032675,0.308354,0.493358,-0.047411,0.382707,0.469605,0.008987,0.332291,0.44168,-0.008314,0.315567,0.43994,-0.025678,0.324037,0.453015,-0.034808,0.411149,0.430166,0.001665,0.373667,0.396663,-0.009259,0.344979,0.387222,-0.0195,0.33004,0.391256,-0.025958
open_hand,0.521079,0.549973,0.0,0.46422,0.602393,-0.0188,0.392407,0.623315,-0.023126,0.329709,0.614745,-0.027865,0.280516,0.599794,-0.030338,0.353971,0.56199,0.016205,0.306241,0.549018,0.000821,0.284036,0.539985,-0.018945,0.277152,0.536738,-0.032299,0.364226,0.511583,0.015499,0.307275,0.487341,-0.003861,0.295841,0.481317,-0.02783,0.309271,0.489633,-0.041484,0.383046,0.471074,0.010118,0.333983,0.442806,-0.006463,0.316941,0.439004,-0.023302,0.326056,0.450495,-0.03205,0.41138,0.431777,0.002597,0.374321,0.398117,-0.008502,0.344845,0.388334,-0.018779,0.330057,0.391655,-0.025077
open_hand,0.519535,0.552165,0.0,0.463523,0.60281,-0.020528,0.393516,0.624594,-0.027782,0.330725,0.618569,-0.035444,0.280608,0.60065,-0.040999,0.355588,0.56192,0.012102,0.304799,0.54905,-0.00537,0.281566,0.540599,-0.026827,0.276366,0.53829,-0.041108,0.364954,0.511921,0.011434,0.30667,0.486937,-0.009756,0.294559,0.483369,-0.03548,0.310289,0.494976,-0.050349,0.383023,0.47104,0.006185,0.332698,0.442578,-0.010633,0.314587,0.441078,-0.02842,0.324954,0.455558,-0.038081,0.410387,0.431821,-0.001367,0.372483,0.397748,-0.012322,0.342258,0.388155,-0.02317,0.328711,0.393053,-0.030057
open_hand,0.515486,0.552124,0.0,0.45858,0.59963,-0.02129,0.391372,0.622496,-0.029895,0.331709,0.618012,-0.038872,0.281732,0.601237,-0.045788,0.35215,0.56218,0.011311,0.302552,0.549697,-0.007029,0.28143,0.543015,-0.029034,0.277404,0.541151,-0.043552,0.362487,0.511937,0.010827,0.305059,0.489084,-0.010647,0.294362,0.48536,-0.036794,0.308409,0.494886,-0.052214,0.381034,0.470945,0.005605,0.331163,0.444155,-0.012132,0.314555,0.442858,-0.030295,0.324233,0.456252,-0.040221,0.409485,0.431867,-0.001867,0.371933,0.397314,-0.013359,0.342577,0.387379,-0.024261,0.328273,0.391978,-0.031333
open_hand,0.519186,0.550671,0.0,0.458052,0.60029,-0.019053,0.392682,0.621936,-0.024719,0.331812,0.61603,-0.03092,0.281935,0.600349,-0.035082,0.354848,0.562553,0.020365,0.303358,0.549538,0.008367,0.281988,0.540615,-0.011667,0.275793,0.537343,-0.026353,0.365679,0.511986,0.020218,0.308504,0.488278,0.00579,0.296039,0.481505,-0.020722,0.305267,0.489341,-0.038825,0.383733,0.472388,0.0156,0.333815,0.445366,0.002903,0.314982,0.440894,-0.01682,0.324653,0.452285,-0.029605,0.410791,0.431699,0.008816,0.371849,0.39843,0.000535,0.341618,0.388544,-0.010325,0.328123,0.392994,-0.018461
open_hand,0.517834,0.549488,0.0,0.461354,0.599306,-0.021399,0.394352,0.623055,-0.029289,0.334117,0.618248,-0.037409,0.28407,0.601237,-0.043403,0.353499,0.563552,0.013332,0.302798,0.549838,-0.003547,0.281023,0.541225,-0.025013,0.276651,0.538601,-0.039447,0.363985,0.513242,0.013177,0.306214,0.489545,-0.008148,0.296187,0.48422,-0.034863,0.312087,0.493465,-0.050363,0.382541,0.472372,0.008339,0.332817,0.446378,-0.009027,0.316071,0.442699,-0.027945,0.326124,0.454531,-0.03825,0.41033,0.432555,0.001271,0.372339,0.399413,-0.010185,0.34247,0.389057,-0.021548,0.328036,0.392494,-0.02885
open_hand,0.518975,0.553561,0.0,0.460958,0.604344,-0.01955,0.392161,0.625592,-0.025398,0.330405,0.619647,-0.031711,0.280448,0.605341,-0.036073,0.355171,0.565836,0.015807,0.305511,0.553685,0.001163,0.2827,0.545164,-0.018571,0.275191,0.54162,-0.032244,0.365128,0.515377,0.015472,0.308071,0.494112,-0.002524,0.29517,0.488414,-0.027092,0.306708,0.495328,-0.042179,0.382828,0.474408,0.010447,0.332256,0.4486,-0.005247,0.313565,0.445599,-0.023517,0.322357,0.456425,-0.033921,0.409353,0.43378,0.003295,0.370198,0.400994,-0.007312,0.339993,0.391492,-0.018394,0.326114,0.395062,-0.02575
